Question Numbers,Variable,English,Turkish,Korean,MEMO by Sungeun,Comments by Banu
,error_top,There are some missing or incorrect answers below. <b>Look for entries with this background color</b>. Please fix them and submit again. Thanks!,,,,
,instructions,"There are <b>two pages</b> of questions (47 total), some having multiple parts. This is <b>page 1</b> and there are 41 questions.  The next page has only 6 brief questions.",,,I sugest we delete this or modify completely(more general). It's confusing and not informative either,"Isn't it misleading to say that are 40 some questions, actually no questionnaire is one item only...!? Sungeun what do you say?"
1,sex,Sex,Cinsiyet,성별,,
,mf1,Male,Erkek,남자,,
,mf2,Female,Kadın,여자,,
2,age,Age,Yaş,나이,,
3,bigFive_instruction,"Please rate to what degree you agree or disagree to the following statements. You can rate these statements on a scale from 1 “I completely disagree”, 3 “I neither agree nor disagree”, to 5 “I completely agree”.","Şimdi aşağıdaki ifadelere ne kadar katılıp katılmadığınızı işaretleyiniz. 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5  arasında bir puan verebilirsiniz.","다음의 문장에 얼마나 동의하는지를 1점 ""전혀 동의하지 않는다"", 3점 ""동의하지도 반대하지도 않는다"", 5점 ""완전히 동의한다""의 5점 척도에서 평정하여 주십시오.",Checked and made a minor change,SUNGEUN: WE CHANGED THE INSTRUCTION PLEASE DOUBLE CHECK WITH YOUR TRANSLATION
,bigFive_introverted,I am an introverted person,İçime kapanık biriyim,나는 내향적인 사람이다,,
,bigFive_trust,"Generally, I easily trust people",Genellikle insanlara kolayca güvenirim,나는 보통 사람을 쉽게 믿는 편이다,,
,bigFive_lazy,I have a tendency to be lazy,Tembellik yapmaya eğilimim vardır,나는 게으른 편이다,,
,bigFive_cope,"I am easy going, i can cope well with stress","Rahatım, stresle iyi başa çıkarım",나는 스트레스에 잘 대처할 수 있고 일을 쉽게 처리하는 편이다.,,
,bigFive_art,I have little interest in art,Sanata ilgim azdır,나는 예술에 대한 관심이 별로 없다,,
,bigFive_extraverted,I am an extraverted and social person,Dışa dönük ve sosyal biriyim,나는 다른사람들과 어울리는 것을 좋아하는 외향적인 사람이다,,
,bigFive_flaws,I have a tendency finding flaws in other people,Başkalarında kusur bulma eğilimim vardır,나는 다른 사람의 약점을 쉽게 파악하는 편이다,,
,bigFive_tasks,I complete tasks meticulously and completely,İşimi titizlikle tam yaparım,나는 신중하고 완벽하게 일을 처리한다,,
,bigFive_tense,I am easy to tense up and worry,Kolay gerilir ve kaygılanırım.,나는 쉽게 긴장하고 걱정하는 사람이다,,
,bigFive_active,I have an active and vivid imagination,Aktif bir hayal gücüm vardır,나는 능동적이고 생생한 상상력을 가지고 있다,,
,aggreement1,Completely disagree,Hiç katılmıyorum,전혀 동의하지 않는다,,
,aggreement2,Disagree,Katılmıyorum,동의하지 않는다,,
,aggreement4,Neither agree nor disagree,Ne katılıyorum ne katılmıyorum,보통이다,,
,aggreement4,Agree,Katılıyorum,동의한다,,
,aggreement5,Completely Agree,Tamamen katılıyorum,완전히 동의한다,,
4,cohen_instruction,"The following questions are about how many people you interact with on a regular basis. These people can be your immediate family members, friends, extended family member, neighbors etc.","Şimdi sordugumuz sorular, düzenli olarak kaç kişi ile görüştüğünüz ya da konuştuğunuzla ilgilidir. Bu kişiler aileniz, arkadaşlarınız, akrabalarınız, komşularınız veya benzeri yakınlarınız olabilir","다음의 질문들은 당신이 평소 연락하고 지내는 사람들에 대한 것입니다. 이들은 직계 가족, 친구, 친척, 이웃 등을 포함할 수 있습니다.",,
4a,martial,Which of the following best describes your marital status?,Medeni durumunuz nedir?,다음 중 당신의 결혼상태를 가장 잘 나타내는 것은 무엇입니까?,,
,marital1,Never married /single,Bekârım,결혼한적 없음/미혼,Let's delete marital 7 and 8,"(BC : Let's delete the marital 7 and 8, what do you think?"
,marital2,Currently married & living together,Evliyim,현재 결혼하여 배우자와 함께 살고 있음,,
,marital3,Separated,Evliyim ama ayrı yaşıyorum,별거,,
,marital4,Divorced,Boşandım,이혼,,
,marital5,Divorced and Remarried,Tekrar evlendim,이혼 후 재혼,,
,marital6,Widowed,Dulum,사별,,
